E T I
0.86 965 4
0.72 966 4
0.40 967 4
0.82 968 4
0.76 969 4
0.48 970 4
0.94 971 4
0.59 972 4
0.73 973 4
0.73 974 4
0.81 975 4
0.53 976 4
0.68 977 4
0.45 978 4
0.80 979 4
0.53 980 4
0.81 981 4
0.85 982 4
0.54 983 4
0.49 984 4
0.68 985 4
0.45 986 4
0.83 987 4
0.55 988 4
0.42 989 4
0.47 990 4
0.56 991 4
0.73 992 4
0.89 993 4
0.98 994 4
0.62 995 4
0.77 996 4
0.86 997 4
0.74 998 4
0.72 999 4
0.42 1000 4
0.84 1001 4
0.47 1002 4
0.71 1003 4
0.61 1004 4
0.50 1005 4
0.38 1006 4
0.59 1007 4
-0.07 1008 4
0.18 1009 4
0.63 1010 4
0.78 1011 4
0.74 1012 4
0.50 1013 4
0.37 1014 4
0.35 1015 4
0.54 1016 4
0.31 1017 4
0.65 1018 4
0.59 1019 4
0.72 1020 4
1.01 1021 4
0.63 1022 4
0.13 1023 4
0.72 1024 4
0.59 1025 4
0.57 1026 4
0.58 1027 4
0.60 1028 4
0.68 1029 4
0.53 1030 4
0.43 1031 4
0.60 1032 4
0.99 1033 4
0.65 1034 4
0.75 1035 4
0.86 1036 4
0.79 1037 4
0.56 1038 4
0.83 1039 4
0.01 1040 4
-0.08 1041 4
-0.01 1042 4
-0.18 1043 4
-0.18 1044 4
-0.09 1045 4
-0.07 1046 4
-0.02 1047 4
-0.03 1048 4
-0.20 1049 4
0.05 1050 4
0.01 1051 4
-0.06 1052 4
0.05 1053 4
0.86 1054 5
0.31 1055 5
1.00 1056 5
0.48 1057 5
0.31 1058 5
0.06 1059 5
0.19 1060 5
0.12 1061 5
0.63 1062 5
0.12 1063 5
0.10 1064 5
0.60 1065 5
0.25 1066 5
0.36 1067 5
-0.03 1068 5
0.01 1069 5
-0.07 1070 5
0.00 1071 5
-0.08 1072 5
0.36 1073 5
0.21 1074 5
-0.08 1075 5
0.17 1076 5
-0.17 1077 5
0.01 1078 5
0.05 1079 5
-0.20 1080 5
-0.19 1081 5
-0.04 1082 5
-0.16 1083 5
-0.11 1084 5
-0.12 1085 5
-0.14 1086 5
0.01 1087 5
-0.00 1088 5
-0.19 1089 5
0.10 1090 5
-0.05 1091 5
-0.20 1092 5
-0.09 1093 5
-0.04 1094 5
0.15 1095 5
-0.07 1096 5
0.08 1097 5
-0.08 1098 5
0.08 1099 5
-0.10 1100 5
0.00 1101 5
-0.08 1102 5
0.09 1103 5
0.08 1104 5
0.12 1105 5
0.04 1106 5
-0.00 1107 5
-0.01 1108 5
-0.14 1109 5
0.03 1110 5
-0.18 1111 5
-0.18 1112 5
0.00 1113 5
0.04 1114 5
-0.00 1115 5
-0.07 1116 5
-0.14 1117 5
0.03 1118 5
-0.14 1119 5
-0.15 1120 5
-0.15 1121 5
0.00 1122 5
-0.07 1123 5
0.05 1124 5
0.04 1125 5
-0.09 1126 5
-0.15 1127 5
-0.11 1128 5
0.11 1129 5
-0.05 1130 5
-0.06 1131 5
-0.02 1132 5
0.06 1133 5
-0.11 1134 5
0.05 1135 5
-0.02 1136 5
-0.16 1137 5
0.81 1138 6
0.97 1139 6
0.86 1140 6
0.89 1141 6
1.01 1142 6
0.80 1143 6
0.78 1144 6
0.93 1145 6
0.56 1146 6
0.85 1147 6
0.46 1148 6
1.07 1149 6
0.85 1150 6
0.74 1151 6
0.89 1152 6
0.20 1153 6
0.41 1154 6
0.23 1155 6
0.00 1156 6
-0.09 1157 6
-0.03 1158 6
-0.01 1159 6
0.19 1160 6
-0.00 1161 6
0.13 1162 6
0.18 1163 6
-0.10 1164 6
0.13 1165 6
0.01 1166 6
0.00 1167 6
-0.05 1168 6
-0.04 1169 6
-0.00 1170 6
-0.10 1171 6
-0.07 1172 6
0.02 1173 6
0.09 1174 6
0.04 1175 6
0.13 1176 6
0.10 1177 6
-0.02 1178 6
0.17 1179 7
0.18 1180 7
-0.04 1181 7
0.16 1182 7
0.12 1183 7
-0.00 1184 7
0.02 1185 7
0.25 1186 7
0.17 1187 7
0.06 1188 7
-0.06 1189 7
0.03 1190 7
0.11 1191 7
0.13 1192 7
-0.03 1193 7
0.02 1194 7
0.11 1195 7
-0.02 1196 7
-0.11 1197 7
-0.08 1198 7
-0.00 1199 7
0.02 1200 7
0.10 1201 7
-0.01 1202 7
-0.08 1203 7
0.33 1204 7
0.03 1205 7
0.64 1206 7
-0.04 1207 7
0.26 1208 7
1.17 1209 7
0.13 1210 7
0.15 1211 7
0.76 1212 7
0.24 1213 7
-0.09 1214 7
0.47 1215 7
0.75 1216 7
0.31 1217 7
0.40 1218 7
0.64 1219 8
0.70 1220 8
0.60 1221 8
0.69 1222 8
0.66 1223 8
0.70 1224 8
0.68 1225 8
0.61 1226 8
0.76 1227 8
0.64 1228 8
0.50 1229 8
0.71 1230 8
0.60 1231 8
0.64 1232 8
0.83 1233 8
0.75 1234 8
0.77 1235 8
0.57 1236 8
0.58 1237 8
0.70 1238 8
0.81 1239 8
0.70 1240 8
0.74 1241 8
0.58 1242 8
0.49 1243 8
0.35 1244 8
0.46 1245 8
0.80 1246 8
0.82 1247 8
0.76 1248 8
0.69 1249 8
0.72 1250 8
0.91 1251 8
0.73 1252 8
0.63 1253 8
0.71 1254 8
0.71 1255 8
0.62 1256 8
0.73 1257 8
0.79 1258 8
0.68 1259 8
0.65 1260 8
0.58 1261 8
0.86 1262 8
0.70 1263 8
0.64 1264 8
0.75 1265 8
0.61 1266 8
0.67 1267 8
0.88 1268 8
0.91 1269 8
0.58 1270 8
0.72 1271 8
0.63 1272 8
0.65 1273 8
0.63 1274 8
0.83 1275 8
0.87 1276 8
1.04 1277 8
0.84 1278 8
0.84 1279 8
0.83 1280 8
0.87 1281 8
0.89 1282 8
0.93 1283 8
0.61 1284 8
0.73 1285 8
0.87 1286 8
0.93 1287 8
0.78 1288 8
0.73 1289 8
1.04 1290 8
0.59 1291 8
0.59 1292 8
0.65 1293 8
0.94 1294 8
0.64 1295 8
0.86 1296 8
0.86 1297 8
0.97 1298 8
1.03 1299 8
0.92 1300 8
0.86 1301 8
0.68 1302 8
0.73 1303 8
0.85 1304 8
1.00 1305 8
0.70 1306 8
0.80 1307 8
0.98 1308 8
1.16 1309 8
0.88 1310 8
0.88 1311 8
0.86 1312 8
0.80 1313 8
0.57 1314 8
0.74 1315 8
0.75 1316 8
0.71 1317 8
1.00 1318 8
0.67 1319 8
0.76 1320 8
0.82 1321 8
0.72 1322 8
0.75 1323 8
0.51 1324 8
0.85 1325 8
0.84 1326 8
0.63 1327 8
0.82 1328 8
0.53 1329 8
0.78 1330 8
0.54 1331 8
0.72 1332 8
0.56 1333 8
0.65 1334 8
0.91 1335 8
0.84 1336 8
0.91 1337 8
0.82 1338 8
0.78 1339 8
0.92 1340 8
0.74 1341 8
0.78 1342 8
0.87 1343 8
0.87 1344 8
1.00 1345 8
0.71 1346 8
0.91 1347 8
0.64 1348 8
0.79 1349 8
0.84 1350 8
0.65 1351 8
0.73 1352 8
0.92 1353 8
0.96 1354 8
0.95 1355 8
0.78 1356 8
0.85 1357 8
0.70 1358 8
0.78 1359 8
0.61 1360 8
0.65 1361 8
0.97 1362 8
0.73 1363 8
0.64 1364 8
0.74 1365 8
0.73 1366 8
0.62 1367 8
0.60 1368 8
0.73 1369 8
0.97 1370 8
0.82 1371 8
0.74 1372 8
0.78 1373 8
0.60 1374 8
0.76 1375 8
0.82 1376 8
0.76 1377 8
0.66 1378 8
0.69 1379 8
0.98 1380 8
1.16 1381 8
0.55 1382 8
0.37 1383 8
0.61 1384 8
0.96 1385 8
0.81 1386 8
0.85 1387 8
0.90 1388 8
0.66 1389 8
0.77 1390 8
0.87 1391 8
0.78 1392 8
0.88 1393 8
0.74 1394 8
0.71 1395 8
0.80 1396 8
0.75 1397 8
0.79 1398 8
0.73 1399 8
0.69 1400 8
0.67 1401 8
0.71 1402 8
0.90 1403 8
0.89 1404 8
0.87 1405 8
0.94 1406 8
0.83 1407 8
0.68 1408 8
0.77 1409 8
0.73 1410 8
0.84 1411 8
0.80 1412 8
0.83 1413 8
0.52 1414 8
0.91 1415 8
0.87 1416 8
0.72 1417 8
0.75 1418 8
0.82 1419 8
0.69 1420 8
0.59 1421 8
0.68 1422 8
0.81 1423 8
0.94 1424 8
0.66 1425 8
0.93 1426 8
0.75 1427 8
0.58 1428 8
0.63 1429 8
0.83 1430 8
0.80 1431 8
0.84 1432 8
0.49 1433 8
0.83 1434 8
0.66 1435 8
0.80 1436 8
0.82 1437 8
0.61 1438 8
0.66 1439 8
0.66 1440 8
0.69 1441 8
0.65 1442 8
0.62 1443 8
0.74 1444 8
0.77 1445 8
0.91 1446 8
0.87 1447 8
0.86 1448 8
0.98 1449 8
0.70 1450 8
0.85 1451 8
